p (mbar),T (degC),Tdew (degC),rh (%),max. wv (m/s),SWDR (W/m�)
979.43,4.55,-2.08,61.97,6.53,108.85
979.37,4.64,-2.0,61.94,5.57,113.88
979.31,4.74,-2.02,61.42,6.29,139.44
979.32,4.91,-2.09,60.37,6.33,151.91
979.34,5.04,-1.93,60.53,7.41,146.48
979.49,5.08,-1.9,60.51,7.21,132.39
979.66,5.1,-1.83,60.73,8.89,137.42
979.79,4.96,-1.71,61.85,6.41,64.59
979.91,4.87,-1.63,62.67,5.41,86.52
979.99,4.86,-1.56,63.0,7.03,95.37
980.19,5.28,-1.31,62.33,4.99,99.8
980.27,5.14,-1.34,62.78,7.51,64.19
980.35,5.06,-1.29,63.41,6.25,69.01
980.41,4.77,-1.32,64.56,3.85,50.91
980.56,4.65,-1.29,65.23,4.73,38.83
980.7,4.52,-1.26,65.97,6.11,14.29
980.84,4.34,-1.21,67.08,4.35,5.23
981.0,4.22,-1.24,67.49,5.25,4.83
981.09,4.04,-1.18,68.63,8.01,1.01
981.14,3.88,-1.13,69.67,5.81,0.0
981.2,3.76,-1.11,70.4,6.01,0.0
981.32,3.69,-1.1,70.8,5.69,0.0
981.5,3.66,-1.08,71.0,6.37,0.0
981.6,3.63,-1.13,70.9,4.85,0.0
981.73,3.64,-1.13,70.9,3.08,0.0
981.86,3.61,-1.2,70.7,3.85,0.0
982.1,3.68,-1.28,69.9,6.97,0.0
982.24,3.75,-1.35,69.2,5.37,0.0
982.27,3.74,-1.39,69.05,6.29,0.0
982.44,3.73,-1.4,69.02,6.25,0.0
982.61,3.71,-1.47,68.76,4.01,0.0
982.78,3.74,-1.52,68.37,4.83,0.0
983.08,3.82,-1.54,67.89,4.97,0.0
983.18,3.83,-1.52,67.95,5.43,0.0
983.24,3.69,-1.43,69.06,6.65,0.0
983.48,3.59,-1.38,69.83,5.61,0.0
983.71,3.56,-1.38,70.0,4.53,0.0
983.86,3.58,-1.38,69.88,5.19,0.0
984.11,3.57,-1.41,69.77,7.41,0.0
984.29,3.55,-1.46,69.63,7.33,0.0
984.43,3.66,-1.47,69.0,5.53,0.0
984.57,3.73,-1.43,68.87,5.69,0.0
984.76,3.7,-1.37,69.33,4.01,0.0
984.88,3.55,-1.37,70.1,5.09,0.0
984.94,3.36,-1.34,71.2,6.41,0.0
985.03,3.25,-1.29,72.0,4.29,0.0
985.17,3.17,-1.27,72.5,4.61,0.0
985.37,3.11,-1.31,72.6,4.21,0.0
985.46,3.01,-1.37,72.8,4.69,0.0
985.62,2.94,-1.4,73.0,5.85,0.0
985.8,2.93,-1.42,73.0,4.93,0.0
985.89,3.0,-1.42,72.6,3.73,0.0
985.94,2.98,-1.48,72.4,3.65,0.0
986.0,3.04,-1.51,71.9,4.09,0.0
986.06,3.01,-1.54,71.9,3.04,0.0
985.99,2.98,-1.56,72.0,4.33,0.0
986.07,2.96,-1.57,72.0,3.97,0.0
986.15,3.02,-1.59,71.6,5.21,0.0
986.26,3.04,-1.61,71.4,2.8,0.0
986.43,3.03,-1.59,71.5,3.93,0.0
986.55,3.11,-1.56,71.3,4.51,0.0
986.62,3.24,-1.49,71.0,4.01,0.0
986.68,3.2,-1.45,71.4,3.08,0.0
986.67,3.22,-1.39,71.6,1.88,0.0
986.7,3.18,-1.38,71.9,1.54,0.0
986.69,3.13,-1.37,72.2,1.5,0.0
986.8,3.06,-1.44,72.2,2.14,0.0
986.81,2.91,-1.51,72.6,1.8,0.0
986.74,2.88,-1.52,72.7,3.04,0.0
986.74,2.78,-1.54,73.1,2.88,0.0
986.7,2.65,-1.58,73.6,3.55,0.0
986.74,2.66,-1.54,73.7,3.77,0.0
986.73,2.78,-1.5,73.3,6.05,0.0
986.81,2.76,-1.52,73.3,6.37,0.0
986.98,2.64,-1.54,73.8,4.85,0.0
986.98,2.53,-1.54,74.4,4.19,0.0
986.83,2.46,-1.53,74.8,3.41,0.0
986.74,2.49,-1.47,75.0,5.25,0.0
986.69,2.54,-1.42,75.0,5.17,0.0
986.58,2.69,-1.35,74.6,5.65,0.0
986.56,2.9,-1.28,73.9,6.15,0.0
986.55,3.03,-1.15,73.9,6.21,0.0
986.43,3.14,-1.01,74.1,7.05,0.0
986.29,3.21,-0.88,74.4,7.33,0.0
986.24,3.32,-0.78,74.4,6.61,0.0
986.24,3.42,-0.64,74.6,7.05,0.0
986.29,3.48,-0.56,74.8,6.61,0.0
986.06,3.5,-0.48,75.1,7.53,0.0
985.96,3.54,-0.42,75.2,5.65,0.0
985.88,3.48,-0.36,75.9,5.91,0.0
985.66,3.58,-0.15,76.5,6.81,0.0
985.67,3.65,-0.04,76.7,6.09,0.0
985.52,3.64,0.02,77.1,5.81,0.0
985.37,3.69,0.08,77.2,6.01,0.0
985.38,3.77,0.14,77.1,5.59,0.0
985.34,3.82,0.17,77.0,5.89,0.0
985.25,3.83,0.18,77.0,5.15,0.0
985.35,3.8,0.2,77.2,6.85,0.0
985.36,3.89,0.24,77.0,8.69,0.0
985.29,4.05,0.31,76.5,9.37,0.0
985.31,4.14,0.32,76.1,7.37,0.0
985.19,4.01,0.3,76.7,5.69,0.0
985.26,3.92,0.35,77.4,6.29,0.0
985.28,3.97,0.4,77.4,5.45,0.0
985.21,4.0,0.44,77.5,7.77,0.0
985.26,4.01,0.47,77.6,6.67,0.0
985.37,4.08,0.5,77.4,5.97,0.0
985.36,4.14,0.53,77.3,5.13,0.8
985.13,4.31,0.58,76.6,8.45,2.41
984.96,4.54,0.64,75.7,9.21,7.85
985.0,4.68,0.69,75.2,8.09,12.27
985.05,4.75,0.73,75.1,9.05,13.28
984.9,4.83,0.75,74.8,10.61,21.33
984.78,4.87,0.77,74.7,8.93,40.85
984.9,4.94,0.78,74.4,8.05,45.27
985.2,5.04,0.81,74.0,5.93,58.75
985.28,5.16,0.79,73.3,7.45,64.79
985.32,5.29,0.81,72.7,7.33,80.48
985.25,5.44,0.81,72.0,7.53,87.12
984.93,5.54,0.8,71.4,9.33,90.74
984.95,5.59,0.83,71.3,8.37,114.08
985.0,5.71,0.94,71.3,7.17,133.8
985.13,5.82,1.03,71.2,8.69,166.4
985.1,6.07,1.15,70.6,5.53,208.85
985.09,6.26,1.23,70.1,6.75,234.21
985.1,6.26,1.16,69.73,8.77,133.2
985.2,6.1,1.09,70.2,6.97,111.87
985.36,6.18,1.04,69.51,6.05,109.66
985.24,6.28,0.85,68.09,9.77,137.22
984.88,6.19,0.66,67.6,9.77,172.43
984.79,6.2,0.54,66.96,9.89,165.19
984.86,6.23,0.68,67.49,9.53,117.91
984.75,6.34,0.77,67.42,9.69,147.89
984.48,6.52,0.92,67.28,8.49,177.87
984.48,6.68,0.98,66.84,8.01,134.21
984.51,6.86,0.94,65.86,8.53,128.37
984.72,6.96,0.92,65.32,6.21,94.16
984.63,7.01,0.97,65.3,6.95,102.01
984.42,7.07,0.99,65.14,8.21,97.99
984.31,7.09,1.02,65.21,8.37,98.59
984.22,7.2,1.13,65.2,7.45,123.54
984.16,7.34,1.11,64.52,7.27,116.1
983.98,7.4,1.14,64.35,7.77,130.58
983.79,7.44,1.24,64.64,7.49,171.43
983.6,7.48,1.34,64.97,7.13,179.68
983.35,7.56,1.33,64.54,8.39,202.21
983.36,7.69,1.33,64.0,7.01,133.0
983.3,7.78,1.34,63.63,6.41,108.45
983.24,7.76,1.32,63.65,7.33,112.27
983.18,7.71,1.51,64.74,6.37,145.47
983.25,7.93,1.67,64.48,6.41,138.43
983.17,7.86,1.7,64.93,4.89,81.09
982.91,7.65,1.59,65.36,6.53,57.55
982.86,7.61,1.62,65.69,5.53,39.24
982.89,7.61,1.65,65.82,3.97,34.61
982.89,7.53,1.73,66.57,2.74,25.75
982.88,7.42,1.73,67.1,4.77,17.71
982.89,7.39,1.7,67.09,6.57,12.07
982.78,7.36,1.73,67.34,7.45,9.05
982.65,7.3,1.78,67.88,7.41,7.04
982.44,7.19,1.82,68.58,7.81,3.42
982.08,7.12,1.75,68.59,5.25,0.8
981.88,7.0,1.76,69.19,3.99,0.0
981.83,6.85,1.78,70.0,4.13,0.0
981.79,6.78,1.77,70.3,5.33,0.0
981.83,6.73,1.78,70.6,4.25,0.0
981.8,6.81,1.8,70.3,4.49,0.0
981.8,6.84,1.77,70.0,5.65,0.0
981.64,6.7,1.69,70.3,5.63,0.0
981.51,6.5,1.62,70.9,5.51,0.0
981.4,6.46,1.58,70.9,5.87,0.0
981.21,6.32,1.52,71.3,5.05,0.0
980.83,6.16,1.51,72.0,7.93,0.0
980.82,6.32,1.58,71.6,7.49,0.0
980.81,6.32,1.59,71.6,7.97,0.0
980.65,6.16,1.52,72.1,7.89,0.0
980.52,5.85,1.49,73.5,6.97,0.0
980.43,5.81,1.53,73.9,7.65,0.0
980.06,5.86,1.54,73.7,7.09,0.0
979.96,5.8,1.54,74.0,7.29,0.0
979.89,5.37,1.55,76.3,5.21,0.0
979.5,5.34,1.61,76.8,5.33,0.0
979.41,5.24,1.54,76.9,4.55,0.0
979.25,5.45,1.44,75.3,5.21,0.0
979.02,5.58,1.37,74.2,5.73,0.0
978.89,5.8,1.41,73.3,7.17,0.0
978.78,6.71,1.68,70.2,8.97,0.0
978.55,7.6,2.08,67.92,8.95,0.0
978.35,8.03,2.32,67.1,8.61,0.0
978.15,8.45,2.35,65.35,11.66,0.0
977.96,8.6,2.34,64.66,11.34,0.0
977.92,8.67,2.55,65.31,10.57,0.0
977.54,8.69,2.66,65.75,10.61,0.0
977.4,8.83,2.73,65.45,11.84,0.0
977.22,8.95,2.62,64.42,10.85,0.0
977.02,9.01,2.68,64.42,10.45,0.0
976.84,9.02,2.9,65.4,13.78,0.0
976.75,8.94,3.07,66.55,12.7,0.0
976.64,8.68,3.38,69.26,14.66,0.0
976.67,8.45,3.51,71.0,12.96,0.0
976.87,8.33,3.57,71.9,11.21,0.0
976.95,8.15,3.52,72.5,10.09,0.0
976.79,8.03,3.48,72.9,11.21,0.0
976.59,8.01,3.56,73.4,9.77,0.0
976.42,8.07,3.73,74.0,10.17,0.0
976.29,8.16,3.97,74.8,10.37,0.0
976.08,8.29,4.06,74.6,7.81,0.0
975.91,8.42,4.13,74.3,13.94,0.0
975.76,8.49,4.25,74.6,10.81,0.0
975.85,8.58,4.4,74.9,8.37,0.0
975.79,8.66,4.49,75.0,9.73,0.0
975.66,8.77,4.64,75.2,9.79,0.0
975.65,8.85,4.83,75.8,6.93,0.0
975.56,9.14,5.13,75.9,12.26,0.0
975.61,9.31,5.37,76.3,9.33,0.0
975.61,9.42,5.55,76.7,11.86,0.0
975.77,9.48,5.72,77.3,9.05,0.0
975.85,9.48,5.83,77.9,8.37,0.0
976.07,9.49,5.91,78.3,7.69,0.0
976.31,9.54,6.03,78.7,7.13,0.0
976.25,9.6,6.09,78.7,9.07,0.0
976.27,9.68,6.21,78.9,7.45,0.0
976.25,9.74,6.28,79.0,7.47,0.0
976.31,9.87,6.46,79.3,7.77,0.0
976.33,10.15,6.72,79.2,8.33,0.0
976.2,10.41,6.92,78.9,9.49,0.0
976.1,10.48,6.97,78.8,9.01,0.0
976.25,10.48,7.0,79.0,8.09,0.0
976.37,10.53,7.11,79.3,9.05,0.0
976.4,10.54,7.24,80.0,8.49,0.0
976.47,10.54,7.41,80.9,8.15,0.0
976.34,10.48,7.65,82.6,8.25,0.0
976.42,10.47,7.84,83.7,6.75,0.0
976.53,10.43,7.92,84.4,5.77,0.0
976.62,10.65,8.08,84.1,5.33,0.0
976.78,11.13,8.25,82.4,6.97,0.0
976.99,11.62,8.33,80.2,8.45,0.0
977.2,11.99,8.41,78.7,7.21,0.0
977.33,12.04,8.59,79.4,7.49,0.0
977.38,11.93,8.6,80.0,6.21,0.0
977.53,12.11,8.46,78.3,5.85,0.0
977.75,12.2,8.56,78.4,6.81,0.0
978.09,11.81,8.86,82.1,5.69,0.0
978.26,11.42,8.98,84.9,4.45,0.0
978.39,11.36,8.93,85.0,6.57,0.0
978.48,11.38,8.9,84.7,5.85,0.0
978.56,11.48,8.79,83.5,6.53,0.0
978.65,11.57,8.68,82.4,7.17,0.0
978.68,11.63,8.56,81.4,5.61,0.0
978.88,11.68,8.39,80.2,5.21,0.0
979.19,11.74,8.12,78.4,5.41,0.0
979.5,11.81,7.84,76.6,5.41,1.41
979.65,11.83,7.63,75.4,5.65,6.24
979.82,11.84,7.41,74.2,6.85,14.08
980.19,11.88,7.37,73.8,4.77,19.32
980.54,11.88,7.37,73.8,3.36,19.32
980.76,11.88,7.33,73.6,4.57,23.34
980.94,11.86,7.33,73.7,3.28,42.86
980.9,11.82,7.17,73.1,4.09,53.52
981.05,11.85,6.94,71.8,6.33,57.75
981.25,11.91,6.71,70.4,5.49,50.91
981.43,11.91,6.62,69.99,4.61,48.29
981.59,11.83,6.67,70.6,5.09,42.05
981.69,11.76,6.73,71.2,5.33,25.96
981.78,11.68,6.63,71.1,7.13,24.55
981.89,11.67,6.2,69.05,7.65,36.82
982.0,11.67,5.88,67.53,5.33,94.16
982.15,11.79,6.06,67.84,5.37,128.17
982.24,11.91,6.21,68.02,4.4,126.16
982.25,11.97,6.18,67.6,8.53,111.67
982.32,11.98,5.88,66.17,5.53,133.8
982.42,12.07,5.82,65.52,6.49,168.81
982.51,12.13,5.62,64.33,7.17,171.63
982.48,12.24,5.71,64.27,8.05,291.55
982.44,12.53,5.89,63.84,6.13,316.5
982.33,12.73,5.97,63.4,6.07,273.44
982.25,12.82,6.1,63.56,6.77,312.07
982.17,13.08,6.22,63.01,9.05,326.56
982.12,13.31,6.27,62.28,6.01,308.45
982.15,13.48,6.26,61.59,8.29,303.82
982.34,13.56,6.28,61.32,9.21,339.03
982.44,13.73,6.33,60.89,8.97,278.67
982.53,13.76,6.38,60.95,7.01,283.1
982.57,13.75,6.43,61.2,7.05,294.57
982.53,13.99,6.47,60.42,6.57,265.79
982.48,13.88,6.43,60.68,8.77,208.25
982.39,13.98,6.51,60.64,6.39,237.22
982.27,13.97,6.54,60.82,11.93,215.9
982.11,13.82,6.42,60.9,10.01,181.89
982.05,13.76,6.45,61.25,7.97,164.99
982.14,13.75,6.51,61.54,10.65,177.67
982.15,13.92,6.72,61.77,7.97,206.24
982.12,14.02,6.78,61.63,8.23,170.62
982.08,13.9,6.75,61.96,7.77,139.44
982.1,13.82,6.56,61.47,10.33,116.7
982.21,13.67,6.42,61.49,7.61,94.97
982.35,13.57,6.34,61.55,6.77,78.07
982.42,13.45,6.31,61.92,6.05,71.63
982.5,13.34,6.36,62.55,5.61,67.61
982.51,13.26,6.26,62.45,5.57,56.94
982.61,13.2,6.18,62.38,5.21,53.32
982.62,13.14,6.11,62.32,4.89,53.12
982.66,13.05,6.08,62.53,3.02,39.44
982.61,12.83,6.04,63.26,3.04,22.33
982.62,12.62,6.0,63.95,2.58,13.08
982.67,12.55,5.98,64.19,1.72,4.83
982.71,12.5,5.94,64.22,1.84,3.22
982.68,12.28,5.86,64.79,1.48,2.41
982.74,12.13,5.88,65.54,2.76,0.0
982.73,11.99,5.97,66.53,2.2,0.0
982.74,11.86,6.02,67.33,2.56,0.0
982.79,11.81,6.05,67.71,1.5,0.0
982.92,11.65,6.0,68.22,2.08,0.0
983.07,11.54,6.03,68.83,1.72,0.0
983.17,11.33,6.03,69.8,1.06,0.0
983.27,11.19,6.04,70.5,3.96,0.0
983.35,11.11,6.08,71.1,2.22,0.0
983.4,11.01,6.07,71.5,3.0,0.0
983.48,10.71,6.06,72.9,2.2,0.0
983.42,10.78,6.19,73.2,2.92,0.0
983.32,10.69,6.2,73.7,3.12,0.0
983.35,10.69,6.24,73.9,1.92,0.0
983.42,10.68,6.38,74.7,2.4,0.0
983.45,10.79,6.47,74.6,2.48,0.0
983.53,10.82,6.56,74.9,2.2,0.0
983.54,11.07,6.7,74.4,5.85,0.0
983.54,11.15,6.72,74.1,5.01,0.0
983.54,10.97,6.66,74.7,5.81,0.0
983.64,10.59,6.55,76.0,2.84,0.0
983.79,10.45,6.49,76.4,3.2,0.0
983.82,10.55,6.51,76.0,2.6,0.0
983.89,10.64,6.5,75.5,2.92,0.0
983.87,10.55,6.45,75.7,4.25,0.0
983.84,10.37,6.41,76.4,3.65,0.0
983.77,10.14,6.36,77.3,4.13,0.0
983.66,10.18,6.38,77.2,5.41,0.0
983.51,10.27,6.43,77.0,3.36,0.0
983.63,10.21,6.39,77.1,3.73,0.0
983.75,10.43,6.41,76.1,3.24,0.0
983.53,10.51,6.37,75.5,4.29,0.0
983.32,10.77,6.34,74.0,7.21,0.0
983.24,10.89,6.31,73.3,10.01,0.0
983.03,10.91,6.27,73.0,9.81,0.0
983.27,10.74,6.21,73.5,6.37,0.0
983.25,10.54,6.17,74.3,2.56,0.0
983.24,10.44,6.17,74.8,4.89,0.0
983.29,10.54,6.29,74.9,6.13,0.0
983.36,10.62,6.35,74.8,6.21,0.0
983.52,10.55,6.34,75.1,2.04,0.0
983.46,10.38,6.31,75.8,3.69,0.0
983.34,10.51,6.36,75.4,3.93,0.0
983.2,10.34,6.29,75.9,2.6,0.0
983.15,10.2,6.3,76.7,3.08,0.0
983.23,10.14,6.26,76.8,2.64,0.0
983.07,10.0,6.22,77.3,2.64,0.0
982.95,9.9,6.2,77.7,2.32,0.0
982.82,9.97,6.21,77.4,2.86,0.0
982.79,9.75,6.13,78.1,2.36,0.0
982.69,9.76,6.19,78.4,2.0,0.0
982.57,9.95,6.21,77.5,2.74,0.0
982.45,10.05,6.2,76.9,3.2,0.0
982.37,9.98,6.22,77.4,3.36,0.0
982.25,10.19,6.31,76.8,5.33,0.0
982.07,10.64,6.58,75.9,7.49,0.0
981.95,11.08,6.69,74.3,10.37,0.0
981.84,11.38,6.79,73.3,9.81,0.0
981.81,11.41,6.77,73.1,8.33,0.0
981.69,11.33,6.74,73.3,8.37,0.0
981.65,11.25,6.72,73.6,6.79,0.0
981.56,11.07,6.68,74.3,7.25,0.0
981.45,11.21,6.74,73.9,7.77,0.0
981.43,11.21,6.76,74.0,6.87,0.0
981.22,11.21,6.78,74.1,7.81,0.0
981.09,11.44,6.86,73.4,10.13,0.0
980.98,11.58,6.94,73.1,9.67,0.0
980.97,11.56,6.96,73.3,9.53,0.0
980.94,11.42,6.92,73.8,9.41,0.0
980.81,11.29,6.97,74.7,8.13,0.0
980.55,11.4,6.98,74.2,9.77,0.0
980.54,11.46,6.92,73.6,8.49,0.0
980.53,11.23,6.84,74.3,6.81,0.0
980.25,11.22,6.85,74.4,9.07,0.0
979.95,11.41,6.91,73.8,9.07,0.0
979.96,11.53,6.87,73.0,10.17,0.0
980.02,11.53,6.77,72.5,7.41,0.0
980.02,11.44,6.68,72.5,7.35,0.0
979.9,11.37,6.58,72.3,7.45,0.0
979.81,11.22,6.51,72.7,7.53,0.0
979.94,11.11,6.47,73.0,5.61,0.0
980.02,11.06,6.44,73.1,6.89,0.0
980.14,11.17,6.48,72.8,7.21,0.0
980.02,11.22,6.51,72.7,6.41,0.0
980.01,11.22,6.53,72.8,6.69,0.0
980.08,11.17,6.54,73.1,7.61,0.0
980.11,11.25,6.58,72.9,6.85,0.0
980.14,11.42,6.64,72.4,7.93,1.21
980.04,11.57,6.67,71.8,6.93,2.82
979.9,11.71,6.7,71.3,9.49,7.65
979.87,11.83,6.73,70.9,9.13,21.13
979.7,11.9,6.72,70.5,9.29,40.85
979.58,11.97,6.72,70.2,10.57,44.06
979.67,12.04,6.74,69.94,7.99,60.97
979.51,12.13,6.78,69.73,9.81,86.12
979.39,12.21,6.82,69.57,8.77,62.17
979.29,12.24,6.84,69.5,8.01,72.64
979.11,12.28,6.89,69.57,7.59,83.5
979.09,12.33,6.94,69.6,8.37,92.76
978.87,12.34,7.04,70.0,10.65,99.2
978.93,12.36,7.16,70.5,12.17,156.14
979.03,12.42,7.3,70.9,8.49,142.86
978.88,12.55,7.38,70.7,12.25,223.54
978.72,12.72,7.48,70.4,11.45,236.82
978.64,12.67,7.52,70.8,11.73,146.08
978.57,12.67,7.56,71.0,10.65,156.34
978.49,12.75,7.64,71.0,8.25,204.63
978.27,12.87,7.67,70.6,11.29,233.8
978.13,12.9,7.72,70.7,11.93,260.97
978.07,13.02,7.79,70.5,9.99,215.29
977.95,13.07,7.8,70.3,10.65,162.58
977.86,13.08,7.81,70.3,9.41,143.06
977.71,13.11,7.88,70.5,12.07,123.14
977.59,13.11,7.9,70.6,10.13,105.43
977.44,12.99,7.91,71.2,9.01,72.84
977.16,12.92,7.96,71.8,9.01,140.85
976.97,12.88,7.99,72.1,11.05,81.69
976.92,12.8,8.03,72.7,10.13,63.18
976.94,12.74,8.07,73.2,10.21,41.05
976.81,12.66,8.18,74.1,9.09,69.42
976.69,12.64,8.26,74.6,8.81,95.37
976.68,12.6,8.36,75.3,8.81,73.44
976.66,12.6,8.39,75.5,7.57,67.4
976.51,12.66,8.43,75.4,9.45,74.25
976.47,12.73,8.46,75.2,7.47,52.92
976.46,12.8,8.45,74.8,8.29,37.02
976.37,12.73,8.54,75.6,6.13,45.88
976.35,12.5,8.66,77.4,6.93,35.81
976.31,12.12,8.87,80.5,6.77,44.06
976.35,11.78,8.99,83.0,6.05,27.36
976.33,11.58,9.1,84.7,5.13,21.93
976.33,11.38,9.13,86.0,5.17,17.91
976.28,11.26,9.15,86.8,5.13,14.49
976.21,11.13,9.09,87.2,4.65,13.88
976.16,11.0,8.94,87.1,6.51,15.09
976.2,10.96,8.85,86.8,4.77,10.66
976.38,10.85,8.74,86.8,4.04,6.24
976.63,10.76,8.64,86.7,4.32,5.84
976.73,10.61,8.59,87.3,5.13,5.23
976.69,10.53,8.6,87.8,3.8,3.22
976.71,10.46,8.51,87.7,4.16,2.01
976.8,10.4,8.44,87.6,2.88,0.8
976.9,10.45,8.23,86.1,3.64,0.6
977.02,10.49,8.15,85.4,2.2,0.2
976.98,10.47,8.03,84.8,5.37,0.0
977.14,10.45,7.89,84.1,2.8,0.0
977.29,10.36,7.8,84.1,2.4,0.0
977.5,10.28,7.67,83.8,2.86,0.0
977.45,10.27,7.61,83.5,1.72,0.0
977.32,10.23,7.5,83.1,2.22,0.0
977.47,10.17,7.49,83.4,1.68,0.0
977.7,10.13,7.45,83.4,1.44,0.0
977.98,10.07,7.39,83.4,2.16,0.0
978.23,10.1,7.28,82.6,2.52,0.0
978.39,10.14,7.16,81.7,4.17,0.0
978.5,10.17,7.12,81.3,2.4,0.0
978.74,10.19,7.1,81.1,3.2,0.0
978.66,10.21,7.05,80.7,3.04,0.0
978.7,10.17,6.99,80.6,5.23,0.0
978.77,10.15,6.86,80.0,2.52,0.0
978.79,10.2,6.75,79.1,3.24,0.0
978.83,10.27,6.65,78.2,2.84,0.0
978.89,10.16,6.6,78.5,3.24,0.0
978.95,10.04,6.67,79.5,2.48,0.0
979.06,9.84,6.62,80.3,2.76,0.0
979.08,9.72,6.25,78.9,4.55,0.0
979.12,9.83,5.64,75.1,5.81,0.0
979.18,10.01,5.21,72.0,5.89,0.0
979.44,9.99,5.13,71.7,6.33,0.0
979.43,9.85,5.19,72.7,4.93,0.0
979.56,9.75,5.16,73.0,8.37,0.0
979.86,9.78,4.97,71.9,6.17,0.0
979.98,9.88,4.72,70.2,8.11,0.0
979.87,10.01,4.04,66.32,8.97,0.0
979.85,10.04,3.77,64.94,7.21,0.0
979.78,9.95,4.0,66.42,6.43,0.0
979.92,9.72,4.26,68.69,4.53,0.0
980.13,9.6,4.32,69.54,6.21,0.0
980.27,9.44,4.25,69.97,4.01,0.0
980.34,9.33,4.02,69.32,5.61,0.0
980.33,9.24,3.8,68.69,4.67,0.0
980.64,9.25,3.4,66.73,4.81,0.0
981.25,8.92,3.8,70.2,5.73,0.0
981.47,8.06,4.16,76.3,8.21,0.0
981.65,7.38,3.85,78.2,4.97,0.0
981.81,6.98,3.55,78.7,5.65,0.0
981.88,6.67,3.53,80.3,5.05,0.0
981.9,6.54,3.52,81.0,5.17,0.0
982.05,6.45,3.56,81.7,4.25,0.0
982.16,6.36,3.68,82.9,3.16,0.0
982.33,6.27,3.77,84.0,3.45,0.0
982.41,6.27,3.81,84.2,2.48,0.0
982.53,6.26,3.83,84.4,1.62,0.0
982.78,6.3,3.87,84.4,1.16,0.0
982.95,6.4,3.89,83.9,1.08,0.0
983.01,6.49,3.6,81.7,2.82,0.0
982.9,6.86,2.99,76.3,3.41,0.0
982.88,7.14,2.35,71.5,2.92,0.0
982.97,7.31,1.86,68.22,2.88,0.0
983.13,7.43,1.47,65.79,5.09,0.0
983.23,7.38,1.32,65.32,4.77,0.0
983.35,7.21,1.47,66.77,3.1,0.0
983.33,7.14,1.79,68.65,4.17,0.0
983.31,7.15,2.09,70.1,2.88,0.0
983.38,7.08,2.3,71.5,5.21,0.0
983.47,7.09,2.34,71.7,2.44,0.0
983.46,7.19,2.1,70.0,3.53,0.0
983.57,7.28,1.82,68.18,6.41,0.0
983.83,7.34,1.68,67.22,4.37,0.0
983.98,7.28,1.69,67.55,5.69,0.0
983.91,7.22,1.93,68.99,4.65,0.0
983.96,7.15,2.02,69.78,6.89,0.0
984.07,6.99,2.17,71.3,6.49,0.0
984.11,6.92,2.24,72.0,5.73,0.0
984.12,6.82,2.36,73.1,7.69,0.0
984.2,6.74,2.37,73.6,5.65,0.0
984.11,6.75,2.27,73.0,5.53,0.0
984.09,6.81,2.22,72.5,5.81,0.0
984.1,6.82,2.18,72.2,5.91,0.0
984.09,6.95,2.09,71.1,6.69,0.0
984.1,7.03,2.03,70.4,6.09,0.0
984.17,7.07,1.96,69.87,6.09,0.0
984.2,7.12,1.91,69.38,6.53,0.0
984.19,7.15,1.9,69.17,6.49,0.0
984.14,7.21,1.87,68.76,8.41,0.0
984.1,7.2,1.91,68.99,7.09,0.0
984.06,7.18,1.89,68.97,7.01,0.0
984.1,7.22,1.81,68.39,9.09,0.0
984.21,7.25,1.78,68.11,8.85,0.0
984.19,7.21,1.73,68.07,9.01,0.0
984.2,7.23,1.71,67.85,9.43,1.41
984.3,7.27,1.69,67.59,10.01,2.41
984.34,7.21,1.66,67.71,8.85,6.24
984.4,7.21,1.67,67.78,9.53,13.88
984.5,7.15,1.66,67.99,8.37,18.51
984.46,7.14,1.68,68.15,8.25,26.36
984.4,7.14,1.69,68.16,7.67,37.83
984.28,7.14,1.66,68.03,9.85,46.88
984.32,7.11,1.71,68.4,6.85,58.35
984.38,7.07,1.7,68.57,7.61,70.02
984.3,7.07,1.78,68.94,6.81,100.6
984.27,7.05,1.78,69.05,9.01,102.41
984.21,6.99,1.84,69.64,7.43,76.46
984.2,6.91,1.85,70.1,7.05,75.05
984.16,6.92,1.92,70.4,6.09,112.47
983.99,7.03,1.95,70.0,5.89,123.34
983.79,7.07,1.92,69.65,7.37,102.21
983.65,7.09,1.88,69.34,7.37,105.03
983.6,7.17,1.83,68.72,6.77,93.56
983.53,7.25,1.65,67.46,6.77,79.88
983.34,7.33,1.49,66.36,7.73,94.37
983.19,7.47,1.26,64.64,7.09,79.28
983.02,7.64,1.18,63.5,7.21,71.43
982.66,7.7,1.42,64.34,7.13,86.72
982.62,7.78,1.71,65.33,6.57,79.48
982.63,7.85,2.04,66.58,5.73,84.31
982.43,7.85,2.9,70.8,5.01,94.37
982.22,7.59,3.68,76.2,2.88,99.6
981.81,7.45,3.86,77.9,2.48,77.26
981.66,7.37,4.21,80.3,1.64,44.87
981.66,7.09,4.34,82.6,1.96,39.44
981.26,6.95,4.47,84.2,1.74,43.86
981.13,6.7,4.61,86.5,1.92,41.25
980.92,6.58,4.76,88.1,1.28,47.48
980.79,6.48,5.05,90.5,1.76,40.24
980.34,6.39,5.06,91.2,2.56,54.73
980.04,6.22,4.95,91.6,3.18,60.56
979.75,6.13,5.01,92.5,2.76,49.9
979.49,6.07,5.08,93.3,2.04,53.92
